lassos	nodes	cvc5	z3	Status
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_1.txt	1	7	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_2.txt	2	8	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_3.txt	3	10	6	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_5.txt	4	19	9	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_7.txt	5	12	6	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_1.txt	6	11	7	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_13.txt	7	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_3.txt	8	18	10	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_5.txt	9	16	10	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_6.txt	10	18	12	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames.bpl/lasso_trace_1.txt	11	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01-exsec2_true-valid-ltl.c/lasso_trace_1.txt	12	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01-straight.c/lasso_trace_1.txt	13	6	3	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_03-enter-calls_random_modifications.bpl/lasso_trace_1.txt	14	4	3	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_03-toyacquirerelease_true-valid-ltl.c/lasso_trace_1.txt	15	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_04-toylinarith1_false-valid-ltl.c/lasso_trace_1.txt	16	32	19	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_08-postgreSQL_pgarch_false-valid-ltl.c/lasso_trace_3.txt	17	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_1.t2.c/lasso_trace_1.txt	18	12	8	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_1.t2.c/lasso_trace_2.txt	19	3	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_110517_Martin_safe.bpl/lasso_trace_1.txt	20	7	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_110517_Martin01.bpl/lasso_trace_1.txt	21	6	3	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_110517_Martin02.bpl/lasso_trace_1.txt	22	7	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_1394-fail.t2.c/lasso_trace_1.txt	23	8	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_1394-fail.t2.c/lasso_trace_2.txt	24	8	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_1394-fail.t2.c/lasso_trace_3.txt	25	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_1394-succeed.t2.c/lasso_trace_1.txt	26	8	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_1394-succeed.t2.c/lasso_trace_2.txt	27	8	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_1394-succeed.t2.c/lasso_trace_3.txt	28	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_1394complete-fail.t2.c/lasso_trace_1.txt	29	8	5	TERMINATING
