lassos	nodes	Ultimate-all	pasttel	label	Algo
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_13.txt	1	1.27	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames.bpl/lasso_trace_1.txt	2	2.81	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01-exsec2_true-valid-ltl.c/lasso_trace_1.txt	3	3.14	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_03-toyacquirerelease_true-valid-ltl.c/lasso_trace_1.txt	4	3.09	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_08-postgreSQL_pgarch_false-valid-ltl.c/lasso_trace_3.txt	5	1.28	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_1.t2.c/lasso_trace_2.txt	6	1.71	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_1394-fail.t2.c/lasso_trace_3.txt	7	2.73	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_1394-succeed.t2.c/lasso_trace_3.txt	8	2.63	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_1394complete-fail.t2.c/lasso_trace_4.txt	9	2.59	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_1394complete-succeed.t2.c/lasso_trace_7.txt	10	2.47	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_14-windows_os_frag2_true-valid-ltl.c/lasso_trace_1.txt	11	2.94	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_15-windows_os_frag2_wbug_false-valid-ltl.c/lasso_trace_1.txt	12	2.92	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_16-windows_os_frag3_true-valid-ltl.c/lasso_trace_1.txt	13	2.56	1	NONTERMINATING	Fixpoint / Fixpoint
