lassos	nodes	Ultimate-all	pasttel	label	Algo
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_1.txt	1	116.78	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_2.txt	2	107.86	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_3.txt	3	116.38	8	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_5.txt	4	99.61	11	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_7.txt	5	63.74	9	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_1.txt	6	115.7	11	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_3.txt	7	169.09	15	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_5.txt	8	184.06	13	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_6.txt	9	65.38	14	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01-straight.c/lasso_trace_1.txt	10	83.76	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_03-enter-calls_random_modifications.bpl/lasso_trace_1.txt	11	63.57	4	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_04-toylinarith1_false-valid-ltl.c/lasso_trace_1.txt	12	413.61	20	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_1.t2.c/lasso_trace_1.txt	13	317.29	9	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_110517_Martin_safe.bpl/lasso_trace_1.txt	14	97.28	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_110517_Martin01.bpl/lasso_trace_1.txt	15	83.09	5	TERMINATING	Affine Template / Affine Template
