nodes,Ultimate-fixpoint,Ultimate-all,pasttel,label,Stem Size,Loop Size,Total Size Trace,Algo,Total-NonTerminate
1,"1,27","1,27",2,NONTERMINATING,4,4,8,Fixpoint / Fixpoint,"1,27"
2,"2,81","2,81",2,NONTERMINATING,0,1,1,Fixpoint / Fixpoint,"2,81"
3,"3,14","3,14",2,NONTERMINATING,5,2,7,Fixpoint / Fixpoint,"3,14"
4,"3,09","3,09",1,NONTERMINATING,5,3,8,Fixpoint / Fixpoint,"3,09"
5,"1,28","1,28",2,NONTERMINATING,32,22,54,Fixpoint / Fixpoint,"1,28"
6,"1,71","1,71",2,NONTERMINATING,119,30,149,Fixpoint / Fixpoint,"1,71"
7,"2,73","2,73",3,NONTERMINATING,327,29,356,Fixpoint / Fixpoint,"2,73"
8,"2,63","2,63",4,NONTERMINATING,323,29,352,Fixpoint / Fixpoint,"2,63"
9,"2,59","2,59",3,NONTERMINATING,348,26,374,Fixpoint / Fixpoint,"2,59"
10,"2,47","2,47",4,NONTERMINATING,395,8,403,Fixpoint / Fixpoint,"2,47"
11,"2,94","2,94",2,NONTERMINATING,9,1,10,Fixpoint / Fixpoint,"2,94"
12,"2,92","2,92",2,NONTERMINATING,9,1,10,Fixpoint / Fixpoint,"2,92"
13,"2,56","2,56",1,NONTERMINATING,4,6,10,Fixpoint / Fixpoint,"2,56"
14,"3,23","3,23",2,NONTERMINATING,5,4,9,Fixpoint / Fixpoint,"3,23"
15,"5,23","5,23",2,NONTERMINATING,119,30,149,Fixpoint / Fixpoint,"5,23"
16,"3,03","3,03",2,NONTERMINATING,5,2,7,Fixpoint / Fixpoint,"3,03"
17,"3,69","3,69",1,NONTERMINATING,0,1,1,Fixpoint / Fixpoint,"3,69"
18,"1,88","50,06",4,NONTERMINATING,1,2,3,GNTA / GNTA,"51,94"
19,"17,45","17,45",15,NONTERMINATING,18,3,21,Fixpoint / Fixpoint,"17,45"
20,"3,36","3,36",2,NONTERMINATING,5,4,9,Fixpoint / Fixpoint,"3,36"
21,"3,21","3,21",2,NONTERMINATING,9,1,10,Fixpoint / Fixpoint,"3,21"
22,"2,3","2,3",1,NONTERMINATING,16,8,24,Fixpoint / Fixpoint,"2,3"
23,"3,4","3,4",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,4"
24,"2,72","2,72",1,NONTERMINATING,0,1,1,Fixpoint / Fixpoint,"2,72"
25,"4,19","4,19",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,19"
26,"2,44","2,44",2,NONTERMINATING,16,8,24,Fixpoint / Fixpoint,"2,44"
27,"2,84","2,84",3,NONTERMINATING,24,16,40,Fixpoint / Fixpoint,"2,84"
28,"3,51","3,51",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,51"
29,"6,83","6,83",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"6,83"
30,"2,19","2,19",6,NONTERMINATING,3,1,4,Fixpoint / Fixpoint,"2,19"
31,"2,18","2,18",6,NONTERMINATING,3,1,4,Fixpoint / Fixpoint,"2,18"
32,"2,82","2,82",4,NONTERMINATING,3,2,5,Fixpoint / Fixpoint,"2,82"
33,"2,22","2,22",6,NONTERMINATING,3,2,5,Fixpoint / Fixpoint,"2,22"
34,"3,73","3,73",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,73"
35,"1,02","223,19",8,NONTERMINATING,12,4,16,GNTA / GNTA,"224,21"
36,"2,31","223,11",3,NONTERMINATING,7,4,11,GNTA / GNTA,"225,42"
37,"3,06","218,73",3,NONTERMINATING,7,4,11,GNTA / GNTA,"221,79"
38,"2,96","2,96",2,NONTERMINATING,32,30,62,Fixpoint / Fixpoint,"2,96"
