Trace Name,Result Code,Ultimate-Fixpoint (ms),Ultimate (ms),pasttel (ms),PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_01_inc-originalVarNames.bpl/lasso_trace_1.txt,NONTERMINATING,2.81,2.81,2.00,NONTERMINATING,0,1,1,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_13.txt,NONTERMINATING,1.27,1.27,2.00,NONTERMINATING,4,4,8,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_2013POPL-BenAmGen-Ex3.20-Real.bpl/lasso_trace_1.txt,NONTERMINATING,3.69,3.69,1.00,NONTERMINATING,0,1,1,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_2020ProgVerif-Sheet09Ex01.bpl/lasso_trace_1.txt,NONTERMINATING,1.88,50.06,4.00,NONTERMINATING,1,2,3,GNTA / GNTA
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_39_framing_condition_summary_minimal.bpl/lasso_trace_1.txt,NONTERMINATING,3.40,3.40,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_40_framing_condition_with_procedure.bpl/lasso_trace_1.txt,NONTERMINATING,2.72,2.72,1.00,NONTERMINATING,0,1,1,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_41_loop_leaves_some_indices_unchanged.bpl/lasso_trace_1.txt,NONTERMINATING,4.19,4.19,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_addNotUpdatedVar.bpl/lasso_trace_1.txt,NONTERMINATING,2.80,2.80,2.00,NONTERMINATING,0,1,1,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_add-sub01.bpl/lasso_trace_1.txt,NONTERMINATING,5.07,5.07,2.00,NONTERMINATING,2,3,5,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_add-sub02.bpl/lasso_trace_1.txt,NONTERMINATING,4.31,4.31,2.00,NONTERMINATING,2,3,5,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_add-sub03.bpl/lasso_trace_1.txt,NONTERMINATING,4.32,4.32,1.00,NONTERMINATING,2,3,5,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_add-sub04.bpl/lasso_trace_1.txt,NONTERMINATING,6.83,6.83,1.00,NONTERMINATING,2,3,5,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_add-sub05.bpl/lasso_trace_1.txt,NONTERMINATING,6.56,6.56,1.00,NONTERMINATING,2,3,5,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_add-sub06.bpl/lasso_trace_1.txt,NONTERMINATING,4.18,4.18,2.00,NONTERMINATING,2,3,5,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_add-sub07.bpl/lasso_trace_1.txt,NONTERMINATING,6.55,6.55,1.00,NONTERMINATING,2,3,5,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_add-sub08.bpl/lasso_trace_1.txt,NONTERMINATING,6.94,6.94,2.00,NONTERMINATING,2,3,5,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_add-sub09.bpl/lasso_trace_1.txt,NONTERMINATING,5.90,5.90,1.00,NONTERMINATING,2,3,5,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_AiHelpful.bpl/lasso_trace_1.txt,NONTERMINATING,3.59,3.59,1.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_AnnoyingVillain.bpl/lasso_trace_1.txt,NONTERMINATING,1.93,73.78,2.00,NONTERMINATING,1,1,2,GNTA / GNTA
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_ArrayExtensionality.bpl/lasso_trace_1.txt,NONTERMINATING,2.13,2.13,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_ArrayRead03.bpl/lasso_trace_1.txt,NONTERMINATING,1.59,1.59,2.00,NONTERMINATING,2,1,3,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_Arrays20.bpl/lasso_trace_22.txt,NONTERMINATING,2.82,2.82,3.00,NONTERMINATING,40,2,42,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_ATVA2013-nonIntegral-real.bpl/lasso_trace_1.txt,NONTERMINATING,3.10,3.10,1.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_Bakery.bpl/lasso_trace_3.txt,NONTERMINATING,1.00,1.00,2.00,NONTERMINATING,6,6,12,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_Bangalore2.bpl/lasso_trace_1.txt,NONTERMINATING,5.05,5.05,1.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_Barcelona.bpl/lasso_trace_1.txt,NONTERMINATING,3.31,3.31,1.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_bball.bpl/lasso_trace_1.txt,NONTERMINATING,3.49,3.49,2.00,NONTERMINATING,1,2,3,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_bbbb+[.bpl/lasso_trace_1.txt,NONTERMINATING,4.24,4.24,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+[]bb.bpl/lasso_trace_1.txt,NONTERMINATING,4.42,4.42,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+bb+[.bpl/lasso_trace_1.txt,NONTERMINATING,20.88,20.88,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b-bb+[.bpl/lasso_trace_1.txt,NONTERMINATING,9.23,9.23,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b]bb+[.bpl/lasso_trace_2.txt,NONTERMINATING,13.80,13.80,2.00,NONTERMINATING,2,1,3,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_bb+[]b.bpl/lasso_trace_1.txt,NONTERMINATING,17.66,17.66,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_bb+b+[.bpl/lasso_trace_1.txt,NONTERMINATING,10.85,10.85,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_bb-b+[.bpl/lasso_trace_1.txt,NONTERMINATING,27.76,27.76,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_bb]b+[.bpl/lasso_trace_2.txt,NONTERMINATING,14.51,14.51,3.00,NONTERMINATING,2,1,3,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_bbb++[.bpl/lasso_trace_1.txt,NONTERMINATING,27.76,27.76,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_bbb+[.bpl/lasso_trace_1.txt,NONTERMINATING,25.60,25.60,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_bbb+[[.bpl/lasso_trace_2.txt,NONTERMINATING,30.53,30.53,2.00,NONTERMINATING,2,1,3,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_bbb+[].bpl/lasso_trace_1.txt,NONTERMINATING,16.11,16.11,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_bbb-+[.bpl/lasso_trace_1.txt,NONTERMINATING,62.17,62.17,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_bb+[bd.bpl/lasso_trace_1.txt,NONTERMINATING,2.08,2.08,3.00,NONTERMINATING,2,1,3,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_bb+bd[.bpl/lasso_trace_1.txt,NONTERMINATING,5.04,5.04,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_bbbd+[.bpl/lasso_trace_1.txt,NONTERMINATING,3.32,3.32,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b++[]b.bpl/lasso_trace_1.txt,NONTERMINATING,2.89,2.89,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b++b+[.bpl/lasso_trace_1.txt,NONTERMINATING,9.00,9.00,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+-b+[.bpl/lasso_trace_1.txt,NONTERMINATING,12.56,12.56,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+[]+b.bpl/lasso_trace_1.txt,NONTERMINATING,5.33,5.33,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+[]-b.bpl/lasso_trace_1.txt,NONTERMINATING,3.38,3.38,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+[][b.bpl/lasso_trace_1.txt,NONTERMINATING,3.14,3.14,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+[]b+.bpl/lasso_trace_1.txt,NONTERMINATING,3.30,3.30,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+[]b-.bpl/lasso_trace_1.txt,NONTERMINATING,3.35,3.35,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+[]b.bpl/lasso_trace_1.txt,NONTERMINATING,3.29,3.29,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+[]b[.bpl/lasso_trace_1.txt,NONTERMINATING,4.29,4.29,3.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+[b+[.bpl/lasso_trace_2.txt,NONTERMINATING,3.46,3.46,3.00,NONTERMINATING,2,1,3,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+]b+[.bpl/lasso_trace_2.txt,NONTERMINATING,2.72,2.72,3.00,NONTERMINATING,2,1,3,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+b++[.bpl/lasso_trace_1.txt,NONTERMINATING,4.94,4.94,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+b+[.bpl/lasso_trace_1.txt,NONTERMINATING,2.96,2.96,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+b+[[.bpl/lasso_trace_2.txt,NONTERMINATING,2.87,2.87,2.00,NONTERMINATING,2,1,3,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+b+[].bpl/lasso_trace_1.txt,NONTERMINATING,2.85,2.85,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+b-+[.bpl/lasso_trace_1.txt,NONTERMINATING,4.29,4.29,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b+b]+[.bpl/lasso_trace_2.txt,NONTERMINATING,2.75,2.75,2.00,NONTERMINATING,2,1,3,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b-+[]b.bpl/lasso_trace_1.txt,NONTERMINATING,3.18,3.18,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b-+b+[.bpl/lasso_trace_1.txt,NONTERMINATING,4.42,4.42,3.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b--b+[.bpl/lasso_trace_1.txt,NONTERMINATING,10.67,10.67,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b-]b+[.bpl/lasso_trace_2.txt,NONTERMINATING,2.77,2.77,3.00,NONTERMINATING,2,1,3,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b-b++[.bpl/lasso_trace_1.txt,NONTERMINATING,4.92,4.92,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO/lasso_traces_b-b+[.bpl/lasso_trace_1.txt,NONTERMINATING,3.75,3.75,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
