Trace Name,Result Code,Fixpoint (ms),Termination (ms),Nontermination (ms),pasttel (ms),PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_basic_safe.bpl/lasso_trace_1.txt,TERMINATING,1.87,50.22,64.69,5.00,TERMINATING,0,4,4,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_basic_safe.bpl/lasso_trace_2.txt,TERMINATING,0.38,54.22,53.26,6.00,TERMINATING,1,4,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_basic_safe.bpl/lasso_trace_3.txt,TERMINATING,0.48,33.11,82.79,7.00,TERMINATING,4,4,8,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_basic_safe.bpl/lasso_trace_5.txt,TERMINATING,0.43,48.60,50.58,6.00,TERMINATING,7,8,15,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_basic_safe.bpl/lasso_trace_7.txt,TERMINATING,0.35,27.21,36.18,6.00,TERMINATING,10,4,14,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_1.txt,TERMINATING,1.80,53.41,60.49,8.00,TERMINATING,0,2,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_3.txt,TERMINATING,0.43,69.22,99.44,16.00,TERMINATING,1,4,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_5.txt,TERMINATING,0.28,94.53,89.25,12.00,TERMINATING,2,2,4,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_6.txt,TERMINATING,0.38,28.46,36.54,12.00,TERMINATING,2,2,4,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_03-enter-calls_random_modifications.bpl/lasso_trace_1.txt,TERMINATING,2.01,29.01,32.55,3.00,TERMINATING,0,2,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_110517_Martin01.bpl/lasso_trace_1.txt,TERMINATING,2.54,46.62,33.93,5.00,TERMINATING,1,1,2,Affine Template / Affine Template
