Trace Name,Result Code,Fixpoint (ms),Termination (ms),Nontermination (ms),Termination Cumul(ms),pasttel (ms),PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_basic_safe.bpl/lasso_trace_1.txt,TERMINATING,"1,87","50,22","64,69","116,78",5,TERMINATING,0,4,4,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_basic_safe.bpl/lasso_trace_2.txt,TERMINATING,"0,38","54,22","53,26","107,86",7,TERMINATING,1,4,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_basic_safe.bpl/lasso_trace_3.txt,TERMINATING,"0,48","33,11","82,79","116,38",8,TERMINATING,4,4,8,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_basic_safe.bpl/lasso_trace_5.txt,TERMINATING,"0,43","48,6","50,58","99,61",5,TERMINATING,7,8,15,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_basic_safe.bpl/lasso_trace_7.txt,TERMINATING,"0,35","27,21","36,18","63,74",6,TERMINATING,10,4,14,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_1.txt,TERMINATING,"1,8","53,41","60,49","115,7",8,TERMINATING,0,2,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_3.txt,TERMINATING,"0,43","69,22","99,44","169,09",11,TERMINATING,1,4,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_5.txt,TERMINATING,"0,28","94,53","89,25","184,06",12,TERMINATING,2,2,4,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_6.txt,TERMINATING,"0,38","28,46","36,54","65,38",12,TERMINATING,2,2,4,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01-straight.c/lasso_trace_1.txt,TERMINATING,"2,77","46,29","34,7","83,76",5,TERMINATING,10,1,11,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_03-enter-calls_random_modifications.bpl/lasso_trace_1.txt,TERMINATING,"2,01","29,01","32,55","63,57",3,TERMINATING,0,2,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_04-toylinarith1_false-valid-ltl.c/lasso_trace_1.txt,TERMINATING,"1,87","208,86","202,88","413,61",20,TERMINATING,8,1,9,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1.t2.c/lasso_trace_1.txt,TERMINATING,"2,03","100,38","214,88","317,29",13,TERMINATING,85,14,99,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_110517_Martin_safe.bpl/lasso_trace_1.txt,TERMINATING,"2,11","53,6","41,57","97,28",4,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_110517_Martin01.bpl/lasso_trace_1.txt,TERMINATING,"2,54","46,62","33,93","83,09",4,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_110517_Martin02.bpl/lasso_trace_1.txt,TERMINATING,"1,99","47,47","37,14","86,6",4,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394-fail.t2.c/lasso_trace_1.txt,TERMINATING,"1,86","763,25","893,27","1658,38",26,TERMINATING,297,18,315,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394-fail.t2.c/lasso_trace_2.txt,TERMINATING,"0,54","870,07","3970,32","4840,93",28,TERMINATING,314,53,367,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394-succeed.t2.c/lasso_trace_1.txt,TERMINATING,"1,88","237,82","657,79","897,49",21,TERMINATING,293,18,311,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394-succeed.t2.c/lasso_trace_2.txt,TERMINATING,"0,46","617,43","809,47","1427,36",28,TERMINATING,310,53,363,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394complete-fail.t2.c/lasso_trace_1.txt,TERMINATING,"1,72","266,23","731,48","999,43",26,TERMINATING,305,18,323,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394complete-fail.t2.c/lasso_trace_2.txt,TERMINATING,"0,48","638,33","826,97","1465,78",29,TERMINATING,322,53,375,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394complete-fail.t2.c/lasso_trace_3.txt,TERMINATING,"0,85","324,55","407,52","732,92",28,TERMINATING,339,25,364,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394complete-succeed.t2.c/lasso_trace_1.txt,TERMINATING,"2,15","284,88","758,74","1045,77",26,TERMINATING,305,18,323,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394complete-succeed.t2.c/lasso_trace_2.txt,TERMINATING,"0,49","677,7","892,41","1570,6",32,TERMINATING,322,53,375,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394complete-succeed.t2.c/lasso_trace_3.txt,TERMINATING,"0,54","338,97","418,02","757,53",29,TERMINATING,339,25,364,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394complete-succeed.t2.c/lasso_trace_4.txt,TERMINATING,"0,47","465,73","556,52","1022,72",29,TERMINATING,352,22,374,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394complete-succeed.t2.c/lasso_trace_5.txt,TERMINATING,"0,41","291,9","342,55","634,86",31,TERMINATING,365,13,378,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_2.t2.c/lasso_trace_1.txt,TERMINATING,"2,49","487,26","742,54","1232,29",14,TERMINATING,85,14,99,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_2006CAV-GopanReps-Fig1.c/lasso_trace_1.txt,TERMINATING,"2,22","81,56","41,44","125,22",12,TERMINATING,5,3,8,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_2007POPL-GulwaniJojic-Figure3.c/lasso_trace_1.txt,TERMINATING,"1,79","110,26","52,66","164,71",12,TERMINATING,5,2,7,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_2013POPL-BenAmGen-Ex3.6.bpl/lasso_trace_1.txt,TERMINATING,"1,67","65,78","42,13","109,58",5,TERMINATING,0,1,1,2-Nested Template / 2-Nested Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_2020ProgVerif-Sheet10Ex04-Square.bpl/lasso_trace_1.txt,TERMINATING,"2,12","50,69","36,43","89,24",7,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_2020TACAS-Frohn-2Invs.bpl/lasso_trace_1.txt,TERMINATING,"2,31","27,53","39,24","69,08",5,TERMINATING,0,1,1,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_2020TACAS-Frohn-NonDec.bpl/lasso_trace_1.txt,TERMINATING,"1,85","38,85","68,06","108,76",4,TERMINATING,0,1,1,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_232.t2.c/lasso_trace_2.txt,TERMINATING,"1,49","40,11","49,69","91,29",6,TERMINATING,20,23,43,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_232.t2.c/lasso_trace_3.txt,TERMINATING,"0,74","86,2","99,04","185,98",6,TERMINATING,25,13,38,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_241.t2.c/lasso_trace_2.txt,TERMINATING,"6,16","75,17","103,91","185,24",6,TERMINATING,20,23,43,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_241.t2.c/lasso_trace_3.txt,TERMINATING,"1,85","208,41","271,27","481,53",6,TERMINATING,25,13,38,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_2Nested_true-termination.c/lasso_trace_1.txt,TERMINATING,"2,65","324,96","130,29","457,9",14,TERMINATING,5,1,6,2-Nested Template / 2-Nested Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_2Nested-1_termination.c/lasso_trace_1.txt,TERMINATING,"2,01","252,16","111,86","366,03",14,TERMINATING,8,1,9,2-Nested Template / 2-Nested Template
