Trace Name,Result Code,Ultimate-Fixpoint (ms),Ultimate (ms),pasttel (ms),PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_20051113-1.c.i_13.bpl/lasso_trace_1.txt,TERMINATING,7.46,106.20,18.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_20051113-1.c.i_15.bpl/lasso_trace_1.txt,TERMINATING,2.51,121.33,14.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_20051113-1.c.i_20.bpl/lasso_trace_1.txt,TERMINATING,3.59,109.85,17.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_20051113-1.c.i_22.bpl/lasso_trace_1.txt,TERMINATING,3.52,112.08,16.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_20051113-1.c.i_25.bpl/lasso_trace_1.txt,TERMINATING,3.31,103.81,15.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_20051113-1.c.i_29.bpl/lasso_trace_1.txt,TERMINATING,2.61,107.03,17.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_20051113-1.c.i_31.bpl/lasso_trace_1.txt,TERMINATING,2.09,113.36,19.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_20051113-1.c.i_33.bpl/lasso_trace_1.txt,TERMINATING,6.97,116.14,16.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_20051113-1.c.i_35.bpl/lasso_trace_1.txt,TERMINATING,1.97,75.57,16.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_20051113-1.c.i_38.bpl/lasso_trace_1.txt,TERMINATING,2.10,106.18,18.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_20051113-1.c.i_40.bpl/lasso_trace_1.txt,TERMINATING,3.50,67.14,17.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_20051113-1.c.i_42.bpl/lasso_trace_1.txt,TERMINATING,2.07,63.76,17.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_20051113-1.c.i_44.bpl/lasso_trace_1.txt,TERMINATING,2.19,94.28,17.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_960521-1_1.i_11.bpl/lasso_trace_2.txt,TERMINATING,0.70,50.15,27.00,TERMINATING,3,2,5,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_960521-1_1.i_12.bpl/lasso_trace_1.txt,TERMINATING,3.31,250.66,27.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_960521-1.i_5.bpl/lasso_trace_1.txt,TERMINATING,4.05,228.67,22.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_add_last-alloca.i_10.bpl/lasso_trace_1.txt,TERMINATING,1.90,980.83,171.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_add_last-alloca.i_11.bpl/lasso_trace_1.txt,TERMINATING,2.53,911.24,184.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_add_last-alloca.i_8.bpl/lasso_trace_1.txt,TERMINATING,2.52,1077.94,126.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_add_last-alloca.i_9.bpl/lasso_trace_1.txt,TERMINATING,2.47,823.62,179.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_alternating_list.i_17.bpl/lasso_trace_1.txt,TERMINATING,1.98,365.04,196.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_alternating_list.i_18.bpl/lasso_trace_1.txt,TERMINATING,1.77,362.77,182.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_alternating_list.i_22.bpl/lasso_trace_1.txt,TERMINATING,1.88,227.84,190.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_alternating_list.i_23.bpl/lasso_trace_1.txt,TERMINATING,1.90,440.32,197.00,TERMINATING,1,2,3,Affine template / Affine template
