Trace Name,Result Code,Ultimate-Fixpoint (ms),Ultimate (ms),pasttel (ms),PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_basic_safe.bpl/lasso_trace_1.txt,TERMINATING,"1,87","50,22",4,TERMINATING,0,4,4,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_basic_safe.bpl/lasso_trace_2.txt,TERMINATING,"0,38","54,22",5,TERMINATING,1,4,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_basic_safe.bpl/lasso_trace_3.txt,TERMINATING,"0,48","33,11",6,TERMINATING,4,4,8,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_basic_safe.bpl/lasso_trace_5.txt,TERMINATING,"0,43","48,6",5,TERMINATING,7,8,15,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_basic_safe.bpl/lasso_trace_7.txt,TERMINATING,"0,35","27,21",5,TERMINATING,10,4,14,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_1.txt,TERMINATING,"1,8","53,41",7,TERMINATING,0,2,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_3.txt,TERMINATING,"0,43","69,22",9,TERMINATING,1,4,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_5.txt,TERMINATING,"0,28","94,53",9,TERMINATING,2,2,4,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_6.txt,TERMINATING,"0,38","28,46",11,TERMINATING,2,2,4,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_01-straight.c/lasso_trace_1.txt,TERMINATING,"2,77","46,29",3,TERMINATING,10,1,11,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_03-enter-calls_random_modifications.bpl/lasso_trace_1.txt,TERMINATING,"2,01","29,01",3,TERMINATING,0,2,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_04-toylinarith1_false-valid-ltl.c/lasso_trace_1.txt,TERMINATING,"1,87","208,86",19,TERMINATING,8,1,9,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1.t2.c/lasso_trace_1.txt,TERMINATING,"2,03","100,38",12,TERMINATING,85,14,99,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_110517_Martin_safe.bpl/lasso_trace_1.txt,TERMINATING,"2,11","53,6",3,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_110517_Martin01.bpl/lasso_trace_1.txt,TERMINATING,"2,54","46,62",3,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_110517_Martin02.bpl/lasso_trace_1.txt,TERMINATING,"1,99","47,47",4,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394-fail.t2.c/lasso_trace_1.txt,TERMINATING,"1,86","763,25",22,TERMINATING,297,18,315,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394-fail.t2.c/lasso_trace_2.txt,TERMINATING,"0,54","870,07",27,TERMINATING,314,53,367,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394-succeed.t2.c/lasso_trace_1.txt,TERMINATING,"1,88","237,82",23,TERMINATING,293,18,311,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394-succeed.t2.c/lasso_trace_2.txt,TERMINATING,"0,46","617,43",29,TERMINATING,310,53,363,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394complete-fail.t2.c/lasso_trace_1.txt,TERMINATING,"1,72","266,23",25,TERMINATING,305,18,323,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394complete-fail.t2.c/lasso_trace_2.txt,TERMINATING,"0,48","638,33",26,TERMINATING,322,53,375,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_1394complete-fail.t2.c/lasso_trace_3.txt,TERMINATING,"0,85","324,55",24,TERMINATING,339,25,364,Affine Template / Affine Template
