nodes	Ultimate-fixpoint	Ultimate-all	pasttel	label	Stem Size	Loop Size	Total Size Trace	Algo
1	1.87	50.22	4	TERMINATING	0	4	4	Affine Template / Affine Template
2	0.38	54.22	5	TERMINATING	1	4	5	Affine Template / Affine Template
3	0.48	33.11	6	TERMINATING	4	4	8	Affine Template / Affine Template
4	0.43	48.6	5	TERMINATING	7	8	15	Affine Template / Affine Template
5	0.35	27.21	5	TERMINATING	10	4	14	Affine Template / Affine Template
6	1.8	53.41	7	TERMINATING	0	2	2	Affine Template / Affine Template
7	0.43	69.22	9	TERMINATING	1	4	5	Affine Template / Affine Template
8	0.28	94.53	9	TERMINATING	2	2	4	Affine Template / Affine Template
9	0.38	28.46	11	TERMINATING	2	2	4	Affine Template / Affine Template
10	2.77	46.29	3	TERMINATING	10	1	11	Affine Template / Affine Template
11	2.01	29.01	3	TERMINATING	0	2	2	Affine Template / Affine Template
12	1.87	208.86	19	TERMINATING	8	1	9	Affine Template / Affine Template
13	2.03	100.38	12	TERMINATING	85	14	99	Affine Template / Affine Template
14	2.11	53.6	3	TERMINATING	1	1	2	Affine Template / Affine Template
15	2.54	46.62	3	TERMINATING	1	1	2	Affine Template / Affine Template
16	1.99	47.47	4	TERMINATING	1	1	2	Affine Template / Affine Template
17	1.86	763.25	22	TERMINATING	297	18	315	Affine Template / Affine Template
18	0.54	870.07	27	TERMINATING	314	53	367	Affine Template / Affine Template
19	1.88	237.82	23	TERMINATING	293	18	311	Affine Template / Affine Template
20	0.46	617.43	29	TERMINATING	310	53	363	Affine Template / Affine Template
21	1.72	266.23	25	TERMINATING	305	18	323	Affine Template / Affine Template
22	0.48	638.33	26	TERMINATING	322	53	375	Affine Template / Affine Template
23	0.85	324.55	24	TERMINATING	339	25	364	Affine Template / Affine Template
24	2.15	284.88	27	TERMINATING	305	18	323	Affine Template / Affine Template
25	0.49	677.7	28	TERMINATING	322	53	375	Affine Template / Affine Template
26	0.54	338.97	25	TERMINATING	339	25	364	Affine Template / Affine Template
27	0.47	465.73	29	TERMINATING	352	22	374	Affine Template / Affine Template
28	0.41	291.9	28	TERMINATING	365	13	378	Affine Template / Affine Template
29	2.49	487.26	12	TERMINATING	85	14	99	Affine Template / Affine Template
30	2.22	81.56	12	TERMINATING	5	3	8	Affine Template / Affine Template
31	1.79	110.26	12	TERMINATING	5	2	7	Affine Template / Affine Template
32	1.67	65.78	4	TERMINATING	0	1	1	2-Nested Template / 2-Nested Template
33	2.12	50.69	6	TERMINATING	1	1	2	Affine Template / Affine Template
34	2.31	27.53	4	TERMINATING	0	1	1	Affine Template / Affine Template
35	1.85	38.85	4	TERMINATING	0	1	1	Affine Template / Affine Template
36	1.49	40.11	6	TERMINATING	20	23	43	Affine Template / Affine Template
37	0.74	86.2	6	TERMINATING	25	13	38	Affine Template / Affine Template
38	6.16	75.17	6	TERMINATING	20	23	43	Affine Template / Affine Template
39	1.85	208.41	6	TERMINATING	25	13	38	Affine Template / Affine Template
40	2.65	324.96	14	TERMINATING	5	1	6	2-Nested Template / 2-Nested Template
41	2.01	252.16	13	TERMINATING	8	1	9	2-Nested Template / 2-Nested Template
42	5.21	889.96	14	TERMINATING	8	1	9	2-Nested Template / 2-Nested Template
43	1.98	269.11	14	TERMINATING	5	1	6	2-Nested Template / 2-Nested Template
44	26.17	514.48	12	TERMINATING	5	1	6	2-Nested Template / 2-Nested Template
45	1.77	67.26	4	TERMINATING	0	1	1	2-Nested Template / 2-Nested Template
46	2.45	729.26	34	TERMINATING	5	1	6	3-Nested Template / 3-Nested Template
47	2.13	770.82	30	TERMINATING	8	1	9	3-Nested Template / 3-Nested Template
48	2.27	717.12	25	TERMINATING	8	1	9	3-Nested Template / 3-Nested Template
49	2.67	768.25	36	TERMINATING	5	1	6	3-Nested Template / 3-Nested Template
50	4.02	836.69	38	TERMINATING	5	1	6	3-Nested Template / 3-Nested Template
51	1.93	67.61	8	TERMINATING	5	2	7	Affine Template / Affine Template
52	2.19	211.48	14	TERMINATING	1	2	3	Affine Template / Affine Template
53	2.19	158.51	7	TERMINATING	5	3	8	Affine Template / Affine Template
54	1.07	42.89	7	TERMINATING	6	1	7	Affine Template / Affine Template
55	2.78	122.47	6	TERMINATING	5	3	8	Affine Template / Affine Template
56	0.76	32.98	6	TERMINATING	6	1	7	Affine Template / Affine Template
57	1.78	55.08	6	TERMINATING	7	3	10	Affine Template / Affine Template
58	0.43	68.48	7	TERMINATING	8	1	9	Affine Template / Affine Template
59	2.1	66.35	4	TERMINATING	1	3	4	Affine Template / Affine Template
60	0.81	39.17	5	TERMINATING	2	1	3	Affine Template / Affine Template
61	4.18	73.45	10	TERMINATING	1	2	3	Affine Template / Affine Template
62	0.68	452.08	71	TERMINATING	2	3	5	Affine Template / Affine Template
63	2.64	58.83	10	TERMINATING	1	2	3	Affine Template / Affine Template
64	0.95	419.12	75	TERMINATING	2	3	5	Affine Template / Affine Template
65	4.44	105.1	11	TERMINATING	1	3	4	Affine Template / Affine Template
66	0.76	484.51	66	TERMINATING	2	4	6	Affine Template / Affine Template
67	4.29	93.37	11	TERMINATING	1	3	4	Affine Template / Affine Template
68	0.99	499.79	63	TERMINATING	2	4	6	Affine Template / Affine Template
69	3.87	124.13	8	TERMINATING	5	1	6	Affine Template / Affine Template
70	1.9	119.38	6	TERMINATING	5	1	6	Affine Template / Affine Template
71	2.24	93.81	6	TERMINATING	7	1	8	Affine Template / Affine Template
72	2.99	53.11	5	TERMINATING	1	1	2	Affine Template / Affine Template
73	2.36	152.36	7	TERMINATING	5	1	6	Affine Template / Affine Template
74	1.87	124.66	7	TERMINATING	5	1	6	Affine Template / Affine Template
75	2.62	95.35	6	TERMINATING	7	1	8	Affine Template / Affine Template
76	2.11	49.97	5	TERMINATING	1	1	2	Affine Template / Affine Template
77	7.28	228.37	10	TERMINATING	5	1	6	Affine Template / Affine Template
78	2.2	156.79	16	TERMINATING	5	1	6	Affine Template / Affine Template
79	1.97	101.88	9	TERMINATING	7	1	8	Affine Template / Affine Template
80	2.78	360.57	6	TERMINATING	1	1	2	Affine Template / Affine Template
81	2.46	85.73	11	TERMINATING	5	1	6	Affine Template / Affine Template
82	2.13	78.56	7	TERMINATING	5	1	6	Affine Template / Affine Template
83	2.16	87.31	9	TERMINATING	7	1	8	Affine Template / Affine Template
84	2.97	65.6	6	TERMINATING	1	1	2	Affine Template / Affine Template
85	2.11	105.01	8	TERMINATING	5	1	6	Affine Template / Affine Template
86	2.17	102.66	8	TERMINATING	5	1	6	Affine Template / Affine Template
87	2.03	108.34	8	TERMINATING	7	1	8	Affine Template / Affine Template
88	2.14	67.42	6	TERMINATING	1	1	2	Affine Template / Affine Template
89	3.81	102.63	8	TERMINATING	5	1	6	Affine Template / Affine Template
90	2.16	118	7	TERMINATING	5	1	6	Affine Template / Affine Template
91	1.94	66.86	7	TERMINATING	8	2	10	Affine Template / Affine Template
92	2.21	114.92	8	TERMINATING	5	1	6	Affine Template / Affine Template
93	1.89	141.28	13	TERMINATING	68	22	90	Affine Template / Affine Template
94	0.43	228.01	12	TERMINATING	72	22	94	Affine Template / Affine Template
95	0.36	111.87	13	TERMINATING	72	22	94	Affine Template / Affine Template
96	0.4	157.61	14	TERMINATING	84	22	106	Affine Template / Affine Template
97	0.43	92.32	36	TERMINATING	87	22	109	Affine Template / Affine Template
98	0.63	47.32	32	TERMINATING	101	22	123	Affine Template / Affine Template
99	2.09	3337.39	22	TERMINATING	1	1	2	2-Phase Template / Affine Template
100	3.36	164.73	16	TERMINATING	5	1	6	Affine Template / Affine Template
101	1.87	112.86	15	TERMINATING	8	1	9	Affine Template / Affine Template
102	1.95	101.43	15	TERMINATING	8	1	9	Affine Template / Affine Template
103	1.83	174.21	15	TERMINATING	5	1	6	Affine Template / Affine Template
104	1.93	156.83	15	TERMINATING	5	1	6	Affine Template / Affine Template
105	2.3	2748.24	54	TERMINATING	5	1	6	2-Phase Template / 2-Nested Template
106	2.01	165.97	9	TERMINATING	9	2	11	Affine Template / Affine Template
107	0.57	152.86	12	TERMINATING	11	3	14	Affine Template / Affine Template
108	0.48	126.83	10	TERMINATING	12	2	14	Affine Template / Affine Template
109	0.34	36.69	9	TERMINATING	15	2	17	Affine Template / Affine Template
110	2.2	143.99	9	TERMINATING	9	2	11	Affine Template / Affine Template
111	0.61	132.87	10	TERMINATING	11	3	14	Affine Template / Affine Template
112	0.48	111.28	8	TERMINATING	12	2	14	Affine Template / Affine Template
113	0.43	32.63	9	TERMINATING	15	2	17	Affine Template / Affine Template
114	2.3	2917.93	58	TERMINATING	5	1	6	2-Phase Template / 2-Nested Template
115	2.42	2753.71	65	TERMINATING	5	1	6	2-Phase Template / 2-Nested Template
116	4.11	89.58	4	TERMINATING	0	4	4	Affine Template / Affine Template
117	0.87	76.69	5	TERMINATING	1	4	5	Affine Template / Affine Template
118	0.77	47.92	7	TERMINATING	4	4	8	Affine Template / Affine Template
119	0.81	67.48	4	TERMINATING	7	8	15	Affine Template / Affine Template
120	0.63	41.95	5	TERMINATING	10	4	14	Affine Template / Affine Template
121	2.11	102.99	21	TERMINATING	7	4	11	Affine Template / Affine Template
122	0.27	171.09	23	TERMINATING	56	4	60	Affine Template / Affine Template
123	0.35	80.89	13	TERMINATING	11	8	19	Affine Template / Affine Template
124	0.41	64.81	30	TERMINATING	13	4	17	Affine Template / Affine Template
125	1.79	125.2	20	TERMINATING	7	4	11	Affine Template / Affine Template
126	0.34	95.34	23	TERMINATING	44	4	48	Affine Template / Affine Template
127	0.43	121.91	20	TERMINATING	11	4	15	Affine Template / Affine Template
128	0.38	126.99	13	TERMINATING	18	8	26	Affine Template / Affine Template
129	0.38	126.78	27	TERMINATING	21	4	25	Affine Template / Affine Template
130	3.03	112.58	23	TERMINATING	7	4	11	Affine Template / Affine Template
131	0.33	100.51	23	TERMINATING	44	4	48	Affine Template / Affine Template
132	0.39	139.79	21	TERMINATING	11	4	15	Affine Template / Affine Template
133	0.4	135.72	12	TERMINATING	18	8	26	Affine Template / Affine Template
134	0.45	140.07	27	TERMINATING	21	4	25	Affine Template / Affine Template
135	2	113.68	21	TERMINATING	9	4	13	Affine Template / Affine Template
136	0.37	73.34	14	TERMINATING	13	8	21	Affine Template / Affine Template
137	0.4	67.05	32	TERMINATING	15	4	19	Affine Template / Affine Template
138	2.28	121.02	23	TERMINATING	9	4	13	Affine Template / Affine Template
139	0.39	76.35	14	TERMINATING	13	8	21	Affine Template / Affine Template
140	0.45	73.09	33	TERMINATING	15	4	19	Affine Template / Affine Template
141	1.68	31.72	4	TERMINATING	0	4	4	Affine Template / Affine Template
142	1.64	123	7	TERMINATING	0	4	4	Affine Template / Affine Template
143	0.33	74.71	10	TERMINATING	104	4	108	Affine Template / Affine Template
144	0.9	63.2	5	TERMINATING	6	4	10	Affine Template / Affine Template
145	0.75	84.6	7	TERMINATING	4	4	8	Affine Template / Affine Template
146	0.49	114.68	9	TERMINATING	6	4	10	Affine Template / Affine Template
147	2.48	95.43	12	TERMINATING	8	4	12	Affine Template / Affine Template
