nodes	Ultimate-fixpoint	Ultimate-all	pasttel	label	Stem Size	Loop Size	Total Size Trace	Algo
1	2.77	2.77	1.00	NONTERMINATING	5	2	7	Fixpoint / Fixpoint
2	2.72	2.72	1.00	NONTERMINATING	5	3	8	Fixpoint / Fixpoint
3	0.92	0.92	1.00	NONTERMINATING	32	22	54	Fixpoint / Fixpoint
4	2.19	2.19	2.00	NONTERMINATING	348	26	374	Fixpoint / Fixpoint
5	1.93	1.93	3.00	NONTERMINATING	395	8	403	Fixpoint / Fixpoint
6	1.99	1.99	3.00	NONTERMINATING	327	29	356	Fixpoint / Fixpoint
7	1.90	1.90	2.00	NONTERMINATING	323	29	352	Fixpoint / Fixpoint
8	2.94	2.94	1.00	NONTERMINATING	9	1	10	Fixpoint / Fixpoint
9	2.72	2.72	1.00	NONTERMINATING	9	1	10	Fixpoint / Fixpoint
10	2.84	2.84	1.00	NONTERMINATING	4	6	10	Fixpoint / Fixpoint
11	3.05	3.05	1.00	NONTERMINATING	5	4	9	Fixpoint / Fixpoint
12	1.45	1.45	2.00	NONTERMINATING	119	30	149	Fixpoint / Fixpoint
13	3.70	3.70	1.00	NONTERMINATING	5	2	7	Fixpoint / Fixpoint
14	3.97	3.97	13.00	NONTERMINATING	18	3	21	Fixpoint / Fixpoint
15	2.89	2.89	1.00	NONTERMINATING	5	4	9	Fixpoint / Fixpoint
16	3.32	3.32	2.00	NONTERMINATING	9	1	10	Fixpoint / Fixpoint
17	1.58	1.58	2.00	NONTERMINATING	119	30	149	Fixpoint / GNTA
18	2.33	2.33	1.00	NONTERMINATING	16	8	24	Fixpoint / Fixpoint
19	2.54	2.54	1.00	NONTERMINATING	16	8	24	Fixpoint / Fixpoint
20	2.84	2.84	1.00	NONTERMINATING	24	16	40	Fixpoint / Fixpoint
21	2.99	2.99	1.00	NONTERMINATING	1	1	2	Fixpoint / Fixpoint
22	3.93	3.93	2.00	NONTERMINATING	1	1	2	Fixpoint / Fixpoint
23	2.22	2.22	7.00	NONTERMINATING	3	1	4	Fixpoint / Fixpoint
24	2.18	2.18	6.00	NONTERMINATING	3	1	4	Fixpoint / Fixpoint
25	1.86	1.86	4.00	NONTERMINATING	3	2	5	Fixpoint / Fixpoint
26	2.16	2.16	4.00	NONTERMINATING	3	2	5	Fixpoint / Fixpoint
27	3.26	3.26	1.00	NONTERMINATING	1	1	2	Fixpoint / Fixpoint
28	0.93	53.80	4.00	NONTERMINATING	12	4	16	GNTA / GNTA
29	2.29	55.20	3.00	NONTERMINATING	7	4	11	GNTA / GNTA
30	3.07	3.07	1.00	NONTERMINATING	32	30	62	Fixpoint / Fixpoint
31	3.18	3.18	2.00	NONTERMINATING	6	3	9	Fixpoint / Fixpoint
32	3.28	3.28	1.00	NONTERMINATING	8	3	11	Fixpoint / Fixpoint
33	2.46	2.46	1.00	NONTERMINATING	5	3	8	Fixpoint / Fixpoint
34	2.58	114.24	5.00	NONTERMINATING	416	32	448	GNTA / GNTA
35	2.94	2.94	1.00	NONTERMINATING	20	21	41	Fixpoint / Fixpoint
36	3.56	3.56	1.00	NONTERMINATING	6	2	8	Fixpoint / Fixpoint
37	1.87	147.63	4.00	NONTERMINATING	689	9	698	GNTA / GNTA
38	3.56	3.56	4.00	NONTERMINATING	552	70	622	Fixpoint / Fixpoint
39	4.39	4.39	5.00	NONTERMINATING	552	70	622	Fixpoint / GNTA
40	4.03	4.03	3.00	NONTERMINATING	531	86	617	Fixpoint / Fixpoint
41	4.56	4.56	5.00	NONTERMINATING	621	79	700	Fixpoint / Fixpoint
42	3.72	3.72	1.00	NONTERMINATING	5	5	10	Fixpoint / Fixpoint
43	2.99	2.99	1.00	NONTERMINATING	1	1	2	Fixpoint / Fixpoint
44	3.02	3.02	1.00	NONTERMINATING	1	1	2	Fixpoint / Fixpoint
45	3.05	3.05	1.00	NONTERMINATING	1	1	2	Fixpoint / Fixpoint
46	2.13	39.46	2.00	NONTERMINATING	1	1	2	GNTA / GNTA
47	2.27	45.61	2.00	NONTERMINATING	1	1	2	GNTA / GNTA
48	3.05	3.05	1.00	NONTERMINATING	6	1	7	Fixpoint / Fixpoint
49	2.92	2.92	1.00	NONTERMINATING	6	1	7	Fixpoint / Fixpoint
50	2.65	2.65	1.00	NONTERMINATING	6	1	7	Fixpoint / Fixpoint
51	1.77	1.77	2.00	NONTERMINATING	9	4	13	Fixpoint / Fixpoint
52	2.74	2.74	1.00	NONTERMINATING	5	5	10	Fixpoint / Fixpoint
53	4.52	4.52	4.00	NONTERMINATING	13	9	22	Fixpoint / Fixpoint
54	3.92	3.92	3.00	NONTERMINATING	10	9	19	Fixpoint / Fixpoint
55	3.09	3.09	1.00	NONTERMINATING	6	1	7	Fixpoint / Fixpoint
56	3.07	3.07	1.00	NONTERMINATING	40	25	65	Fixpoint / Fixpoint
57	0.96	0.96	1.00	NONTERMINATING	8	14	22	Fixpoint / Fixpoint
58	1.80	54.37	3.00	NONTERMINATING	6	3	9	GNTA / GNTA
59	1.79	44.08	1.00	NONTERMINATING	6	3	9	GNTA / GNTA
60	1.78	1.78	1.00	NONTERMINATING	7	1	8	Fixpoint / Fixpoint
61	1.84	1.84	2.00	NONTERMINATING	6	2	8	Fixpoint / Fixpoint
62	3.47	3.47	5.00	NONTERMINATING	6	1	7	Fixpoint / Fixpoint
63	2.92	2.92	1.00	NONTERMINATING	4	1	5	Fixpoint / Fixpoint
64	3.03	3.03	1.00	NONTERMINATING	1	1	2	Fixpoint / Fixpoint
65	3.32	3.32	1.00	NONTERMINATING	1	1	2	Fixpoint / Fixpoint
66	1.85	43.04	2.00	NONTERMINATING	6	1	7	GNTA / GNTA
67	0.36	33.57	2.00	NONTERMINATING	7	1	8	GNTA / GNTA
68	3.52	3.52	1.00	NONTERMINATING	1	1	2	Fixpoint / Fixpoint
69	3.19	3.19	2.00	NONTERMINATING	1	1	2	Fixpoint / Fixpoint
70	1.98	42.58	2.00	NONTERMINATING	1	1	2	GNTA / GNTA
71	1.79	38.80	1.00	NONTERMINATING	17	10	27	GNTA / GNTA
72	2.07	39.51	2.00	NONTERMINATING	1	1	2	GNTA / GNTA
73	2.60	2.60	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
74	3.26	3.26	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
75	3.45	3.45	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
76	3.25	3.25	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
77	2.93	2.93	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
78	3.47	3.47	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
79	3.30	3.30	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
80	2.08	41.65	2.00	NONTERMINATING	5	1	6	GNTA / GNTA
81	3.19	3.19	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
82	3.48	3.48	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
83	3.47	3.47	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
84	4.75	4.75	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
85	1.88	65.91	3.00	NONTERMINATING	5	1	6	GNTA / GNTA
86	3.00	3.00	1.00	NONTERMINATING	5	2	7	Fixpoint / Fixpoint
87	1.84	39.53	1.00	NONTERMINATING	16	13	29	GNTA / GNTA
88	1.79	39.22	1.00	NONTERMINATING	16	9	25	GNTA / GNTA
89	1.82	40.83	1.00	NONTERMINATING	16	9	25	GNTA / GNTA
90	1.77	43.02	1.00	NONTERMINATING	16	9	25	GNTA / GNTA
91	2.29	39.54	1.00	NONTERMINATING	20	10	30	GNTA / GNTA
92	2.45	2.45	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
93	3.26	3.26	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
94	0.56	60.38	9.00	NONTERMINATING	20	7	27	GNTA / GNTA
95	0.49	64.28	7.00	NONTERMINATING	29	10	39	GNTA / GNTA
96	0.56	64.99	8.00	NONTERMINATING	29	10	39	GNTA / GNTA
97	0.67	59.48	6.00	NONTERMINATING	20	7	27	GNTA / GNTA
98	0.57	64.00	6.00	NONTERMINATING	29	10	39	GNTA / GNTA
99	0.63	67.55	6.00	NONTERMINATING	19	7	26	GNTA / GNTA
100	0.71	65.39	8.00	NONTERMINATING	28	10	38	GNTA / GNTA
101	0.56	72.14	7.00	NONTERMINATING	19	7	26	GNTA / GNTA
102	0.69	66.38	8.00	NONTERMINATING	28	10	38	GNTA / GNTA
103	1.66	1.66	3.00	NONTERMINATING	19	7	26	Fixpoint / Fixpoint
104	1.85	1.85	3.00	NONTERMINATING	28	10	38	Fixpoint / Fixpoint
105	2.23	2.23	4.00	NONTERMINATING	10	5	15	Fixpoint / Fixpoint
106	2.12	2.12	3.00	NONTERMINATING	10	5	15	Fixpoint / Fixpoint
107	2.00	2.00	2.00	NONTERMINATING	11	6	17	Fixpoint / Fixpoint
108	2.15	2.15	3.00	NONTERMINATING	10	5	15	Fixpoint / Fixpoint
109	2.35	2.35	2.00	NONTERMINATING	11	6	17	Fixpoint / Fixpoint
110	2.40	2.40	3.00	NONTERMINATING	10	5	15	Fixpoint / Fixpoint
111	2.42	2.42	3.00	NONTERMINATING	10	5	15	Fixpoint / Fixpoint
112	2.20	2.20	3.00	NONTERMINATING	10	5	15	Fixpoint / Fixpoint
113	2.14	2.14	2.00	NONTERMINATING	11	6	17	Fixpoint / Fixpoint
114	2.21	2.21	3.00	NONTERMINATING	10	5	15	Fixpoint / Fixpoint
115	2.85	2.85	3.00	NONTERMINATING	10	5	15	Fixpoint / Fixpoint
116	2.25	2.25	3.00	NONTERMINATING	10	5	15	Fixpoint / Fixpoint
117	2.01	2.01	2.00	NONTERMINATING	11	6	17	Fixpoint / Fixpoint
118	2.26	2.26	3.00	NONTERMINATING	10	5	15	Fixpoint / Fixpoint
119	2.20	2.20	2.00	NONTERMINATING	11	6	17	Fixpoint / GNTA
