Trace Name,Result Code,Ultimate-Fixpoint (ms),Ultimate (ms),pasttel (ms),PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_01-exsec2_true-valid-ltl.c/lasso_trace_1.txt,NONTERMINATING,2.77,2.77,1.00,NONTERMINATING,5,2,7,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_03-toyacquirerelease_true-valid-ltl.c/lasso_trace_1.txt,NONTERMINATING,2.72,2.72,1.00,NONTERMINATING,5,3,8,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_08-postgreSQL_pgarch_false-valid-ltl.c/lasso_trace_3.txt,NONTERMINATING,0.92,0.92,1.00,NONTERMINATING,32,22,54,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_1394complete-fail.t2.c/lasso_trace_4.txt,NONTERMINATING,2.19,2.19,2.00,NONTERMINATING,348,26,374,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_1394complete-succeed.t2.c/lasso_trace_7.txt,NONTERMINATING,1.93,1.93,3.00,NONTERMINATING,395,8,403,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_1394-fail.t2.c/lasso_trace_3.txt,NONTERMINATING,1.99,1.99,3.00,NONTERMINATING,327,29,356,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_1394-succeed.t2.c/lasso_trace_3.txt,NONTERMINATING,1.90,1.90,2.00,NONTERMINATING,323,29,352,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_14-windows_os_frag2_true-valid-ltl.c/lasso_trace_1.txt,NONTERMINATING,2.94,2.94,1.00,NONTERMINATING,9,1,10,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_15-windows_os_frag2_wbug_false-valid-ltl.c/lasso_trace_1.txt,NONTERMINATING,2.72,2.72,1.00,NONTERMINATING,9,1,10,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_16-windows_os_frag3_true-valid-ltl.c/lasso_trace_1.txt,NONTERMINATING,2.84,2.84,1.00,NONTERMINATING,4,6,10,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_1997FMSD-Halbwachs.c/lasso_trace_1.txt,NONTERMINATING,3.05,3.05,1.00,NONTERMINATING,5,4,9,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_1.t2.c/lasso_trace_2.txt,NONTERMINATING,1.45,1.45,2.00,NONTERMINATING,119,30,149,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_2001TACAS-BallPodelskiRajamani.c/lasso_trace_1.txt,NONTERMINATING,3.70,3.70,1.00,NONTERMINATING,5,2,7,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_205_9a_array_unsafes_linux-3.16-rc1.tar.xz-205_9a-drivers--net--wan--hdlc_x25.ko-entry_point_true-unreach-call.cil.out.c/lasso_trace_2.txt,NONTERMINATING,3.97,3.97,13.00,NONTERMINATING,18,3,21,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_21-windows_os_frag6_wbug_false-valid-ltl.c/lasso_trace_2.txt,NONTERMINATING,2.89,2.89,1.00,NONTERMINATING,5,4,9,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_23-windows_os_frag8_true-valid-ltl.c/lasso_trace_1.txt,NONTERMINATING,3.32,3.32,2.00,NONTERMINATING,9,1,10,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_2.t2.c/lasso_trace_2.txt,NONTERMINATING,1.58,1.58,2.00,NONTERMINATING,119,30,149,Fixpoint / GNTA
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_3.t2.c/lasso_trace_1.txt,NONTERMINATING,2.33,2.33,1.00,NONTERMINATING,16,8,24,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_6.t2.c/lasso_trace_1.txt,NONTERMINATING,2.54,2.54,1.00,NONTERMINATING,16,8,24,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_7.t2.c/lasso_trace_1.txt,NONTERMINATING,2.84,2.84,1.00,NONTERMINATING,24,16,40,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_a.02.c/lasso_trace_1.txt,NONTERMINATING,2.99,2.99,1.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_a.02.real.c/lasso_trace_1.txt,NONTERMINATING,3.93,3.93,2.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_a.03.c/lasso_trace_3.txt,NONTERMINATING,2.22,2.22,7.00,NONTERMINATING,3,1,4,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_a.03-no-inv.c/lasso_trace_3.txt,NONTERMINATING,2.18,2.18,6.00,NONTERMINATING,3,1,4,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_a.03.real.c/lasso_trace_3.txt,NONTERMINATING,1.86,1.86,4.00,NONTERMINATING,3,2,5,Fixpoint / Fixpoint
