Trace Name,Result Code,Ultimate-Fixpoint (ms),Ultimate (ms),pasttel (ms),PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_01-straight.c/lasso_trace_1.txt,TERMINATING,2.28,42.63,5.00,TERMINATING,10,1,11,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_04-toylinarith1_false-valid-ltl.c/lasso_trace_1.txt,TERMINATING,1.75,125.50,24.00,TERMINATING,8,1,9,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_06-postgreSQL_strmsrv_true-valid-ltl.c/lasso_trace_1.txt,TERMINATING,1.64,171.10,23.00,TERMINATING,8,3,11,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_07-postgreSQL_strmsrv_wbug_true-valid-ltl.c/lasso_trace_1.txt,TERMINATING,1.68,180.67,27.00,TERMINATING,8,3,11,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_09-postgreSQL_dropbuf_prop1_false-valid-ltl.c/lasso_trace_1.txt,TERMINATING,2.09,290.14,101.00,TERMINATING,8,5,13,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_09-postgreSQL_dropbuf_prop1_false-valid-ltl.c/lasso_trace_2.txt,TERMINATING,0.86,204.68,58.00,TERMINATING,8,7,15,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_10-postgreSQL_dropbuf_prop2_true-valid-ltl.c/lasso_trace_1.txt,TERMINATING,2.02,281.05,91.00,TERMINATING,8,5,13,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_10-postgreSQL_dropbuf_prop2_true-valid-ltl.c/lasso_trace_2.txt,TERMINATING,0.90,224.46,58.00,TERMINATING,8,7,15,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_1394complete-fail.t2.c/lasso_trace_1.txt,TERMINATING,1.63,91.01,11.00,TERMINATING,305,18,323,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_1394complete-fail.t2.c/lasso_trace_2.txt,TERMINATING,0.46,80.67,14.00,TERMINATING,322,53,375,Affine template / Affine template
