nodes	Ultimate-fixpoint	Ultimate-all	pasttel	label	Stem Size	Loop Size	Total Size Trace	Algo
1	2.28	42.63	5.00	TERMINATING	10	1	11	Affine template / Affine template
2	1.75	125.50	24.00	TERMINATING	8	1	9	Affine template / Affine template
3	1.64	171.10	23.00	TERMINATING	8	3	11	Affine template / Affine template
4	1.68	180.67	27.00	TERMINATING	8	3	11	Affine template / Affine template
5	2.09	290.14	101.00	TERMINATING	8	5	13	Affine template / Affine template
6	0.86	204.68	58.00	TERMINATING	8	7	15	Affine template / Affine template
7	2.02	281.05	91.00	TERMINATING	8	5	13	Affine template / Affine template
8	0.90	224.46	58.00	TERMINATING	8	7	15	Affine template / Affine template
9	1.63	91.01	11.00	TERMINATING	305	18	323	Affine template / Affine template
10	0.46	80.67	14.00	TERMINATING	322	53	375	Affine template / Affine template
11	0.70	76.94	11.00	TERMINATING	339	25	364	Affine template / Affine template
12	1.59	108.22	11.00	TERMINATING	305	18	323	Affine template / Affine template
13	0.51	83.04	13.00	TERMINATING	322	53	375	Affine template / Affine template
14	0.40	74.04	10.00	TERMINATING	339	25	364	Affine template / Affine template
15	0.40	74.33	11.00	TERMINATING	352	22	374	Affine template / Affine template
16	0.35	72.91	10.00	TERMINATING	365	13	378	Affine template / Affine template
17	1.77	95.86	12.00	TERMINATING	297	18	315	Affine template / Affine template
18	0.45	78.91	13.00	TERMINATING	314	53	367	Affine template / Affine template
19	2.04	87.67	10.00	TERMINATING	293	18	311	Affine template / Affine template
20	0.44	81.01	14.00	TERMINATING	310	53	363	Affine template / Affine template
21	2.06	107.65	33.00	TERMINATING	8	14	22	Affine template / Affine template
22	2.39	163.05	66.00	TERMINATING	12	12	24	Affine template / Affine template
23	2.17	75.03	10.00	TERMINATING	85	14	99	Affine template / Affine template
24	1.98	95.96	14.00	TERMINATING	5	3	8	Affine template / Affine template
25	1.86	82.09	15.00	TERMINATING	5	2	7	Affine template / Affine template
26	1.54	49.00	5.00	TERMINATING	20	23	43	Affine template / Affine template
27	0.70	33.72	5.00	TERMINATING	25	13	38	Affine template / Affine template
28	1.53	46.19	5.00	TERMINATING	20	23	43	Affine template / Affine template
29	1.00	34.76	7.00	TERMINATING	25	13	38	Affine template / Affine template
30	2.15	122.64	13.00	TERMINATING	5	1	6	2 template / Nested template
31	9.48	76.20	9.00	TERMINATING	85	14	99	Affine template / Affine template
32	2.04	282.99	143.00	TERMINATING	9	5	14	Affine template / Affine template
33	3.49	144.40	46.00	TERMINATING	9	5	14	Affine template / Affine template
34	2.01	66.66	8.00	TERMINATING	5	2	7	Affine template / Affine template
35	0.68	84.15	29.00	TERMINATING	11	2	13	Affine template / Affine template
36	2.62	106.25	54.00	TERMINATING	10	15	25	Affine template / Affine template
37	1.73	57.45	5.00	TERMINATING	1	3	4	Affine template / Affine template
38	0.86	37.74	6.00	TERMINATING	2	1	3	Affine template / Affine template
39	1.88	56.36	8.00	TERMINATING	7	3	10	Affine template / Affine template
40	0.46	34.46	8.00	TERMINATING	8	1	9	Affine template / Affine template
41	2.41	80.92	12.00	TERMINATING	1	2	3	Affine template / Affine template
42	0.66	540.39	75.00	TERMINATING	2	3	5	Affine template / Affine template
43	3.85	92.48	13.00	TERMINATING	1	2	3	Affine template / Affine template
44	0.67	553.27	73.00	TERMINATING	2	3	5	Affine template / Affine template
45	3.52	66.43	12.00	TERMINATING	1	3	4	Affine template / Affine template
46	1.04	505.72	85.00	TERMINATING	2	4	6	Affine template / Affine template
47	2.74	67.53	17.00	TERMINATING	1	3	4	Affine template / Affine template
48	0.63	487.22	87.00	TERMINATING	2	4	6	Affine template / Affine template
49	2.82	186.64	47.00	TERMINATING	10	7	17	Affine template / Affine template
50	2.01	51.65	7.00	TERMINATING	1	1	2	Affine template / Affine template
51	2.16	74.37	7.00	TERMINATING	7	1	8	Affine template / Affine template
52	2.65	177.25	45.00	TERMINATING	10	7	17	Affine template / Affine template
53	2.08	47.82	5.00	TERMINATING	1	1	2	Affine template / Affine template
54	1.98	56.62	7.00	TERMINATING	7	1	8	Affine template / Affine template
55	3.02	141.93	62.00	TERMINATING	11	10	21	Affine template / Affine template
56	2.08	71.55	9.00	TERMINATING	1	1	2	Affine template / Affine template
57	2.16	71.16	12.00	TERMINATING	7	1	8	Affine template / Affine template
58	2.67	224.32	63.00	TERMINATING	11	12	23	Affine template / Affine template
59	2.18	64.54	9.00	TERMINATING	1	1	2	Affine template / Affine template
60	2.05	65.98	10.00	TERMINATING	7	1	8	Affine template / Affine template
61	2.66	124.14	43.00	TERMINATING	10	9	19	Affine template / Affine template
62	2.28	69.27	8.00	TERMINATING	1	1	2	Affine template / Affine template
63	2.06	59.13	10.00	TERMINATING	7	1	8	Affine template / Affine template
64	2.37	201.78	48.00	TERMINATING	12	8	20	Affine template / Affine template
65	1.66	55.93	8.00	TERMINATING	8	2	10	Affine template / Affine template
66	2.55	130.19	41.00	TERMINATING	10	10	20	Affine template / Affine template
67	1.43	90.30	41.00	TERMINATING	16	10	26	Affine template / Affine template
68	0.41	114.44	32.00	TERMINATING	109	22	131	Affine template / Affine template
69	1.73	62.13	12.00	TERMINATING	68	22	90	Affine template / Affine template
70	0.33	49.54	19.00	TERMINATING	72	22	94	Affine template / Affine template
71	0.31	52.34	12.00	TERMINATING	72	22	94	Affine template / Affine template
72	0.38	54.05	12.00	TERMINATING	80	22	102	Affine template / Affine template
73	0.31	50.15	13.00	TERMINATING	84	22	106	Affine template / Affine template
