Trace Name,Result Code,Fixpoint (ms),Termination (ms),Nontermination (ms),TOTAL (ms),pasttel (ms),PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_13.txt,NONTERMINATING,"1,27",-,-,"1,27",3,NONTERMINATING,4,4,8,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_01_inc-originalVarNames.bpl/lasso_trace_1.txt,NONTERMINATING,"2,81",-,-,"2,81",2,NONTERMINATING,-,1,1,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_01-exsec2_true-valid-ltl.c/lasso_trace_1.txt,NONTERMINATING,"3,14",-,-,"3,14",1,NONTERMINATING,5,2,7,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_03-toyacquirerelease_true-valid-ltl.c/lasso_trace_1.txt,NONTERMINATING,"3,09",-,-,"3,09",2,NONTERMINATING,5,3,8,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_08-postgreSQL_pgarch_false-valid-ltl.c/lasso_trace_3.txt,NONTERMINATING,"1,28",-,-,"1,28",2,NONTERMINATING,32,22,54,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_1.t2.c/lasso_trace_2.txt,NONTERMINATING,"1,71",-,-,"1,71",2,NONTERMINATING,119,30,149,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_1394-fail.t2.c/lasso_trace_3.txt,NONTERMINATING,"2,73",-,-,"2,73",3,NONTERMINATING,327,29,356,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_1394-succeed.t2.c/lasso_trace_3.txt,NONTERMINATING,"2,63",-,-,"2,63",4,NONTERMINATING,323,29,352,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_1394complete-fail.t2.c/lasso_trace_4.txt,NONTERMINATING,"2,59",-,-,"2,59",3,NONTERMINATING,348,26,374,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_1394complete-succeed.t2.c/lasso_trace_7.txt,NONTERMINATING,"2,47",-,-,"2,47",3,NONTERMINATING,395,8,403,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_14-windows_os_frag2_true-valid-ltl.c/lasso_trace_1.txt,NONTERMINATING,"2,94",-,-,"2,94",3,NONTERMINATING,9,1,10,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_15-windows_os_frag2_wbug_false-valid-ltl.c/lasso_trace_1.txt,NONTERMINATING,"2,92",-,-,"2,92",2,NONTERMINATING,9,1,10,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_16-windows_os_frag3_true-valid-ltl.c/lasso_trace_1.txt,NONTERMINATING,"2,56",-,-,"2,56",2,NONTERMINATING,4,6,10,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_1997FMSD-Halbwachs.c/lasso_trace_1.txt,NONTERMINATING,"3,23",-,-,"3,23",2,NONTERMINATING,5,4,9,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_2.t2.c/lasso_trace_2.txt,NONTERMINATING,"5,23",-,-,"5,23",2,NONTERMINATING,119,30,149,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_2001TACAS-BallPodelskiRajamani.c/lasso_trace_1.txt,NONTERMINATING,"3,03",-,-,"3,03",2,NONTERMINATING,5,2,7,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_2013POPL-BenAmGen-Ex3.20-Real.bpl/lasso_trace_1.txt,NONTERMINATING,"3,69",-,-,"3,69",2,NONTERMINATING,-,1,1,Fixpoint / Fixpoint
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_2020ProgVerif-Sheet09Ex01.bpl/lasso_trace_1.txt,NONTERMINATING,"1,88",-,"50,06","50,06",5,NONTERMINATING,1,2,3,GNTA / GNTA
ATVA2026_benchmark/NON_TERM_LASSO//lasso_traces_205_9a_array_unsafes_linux-3.16-rc1.tar.xz-205_9a-drivers--net--wan--hdlc_x25.ko-entry_point_true-unreach-call.cil.out.c/lasso_trace_2.txt,NONTERMINATING,"17,45",-,-,"17,45",18,NONTERMINATING,18,3,21,Fixpoint / Fixpoint
